,Cluster Label,variable,value
0,0,0,0.0037428811904729855
1,1,0,0.0
2,2,0,0.012478235255089553
3,3,0,0.0070326041023167215
4,4,0,0.005187797642097317
5,0,1,0.001382817253174798
6,1,1,0.01282051282051282
7,2,1,0.007383494306475909
8,3,1,0.0033123420203531695
9,4,1,0.0030671981760506447
10,0,2,0.000841012170917305
11,1,2,0.0
12,2,2,0.004197053819251321
13,3,2,0.001805362678108594
14,4,2,0.0014217824326130737
15,0,3,0.0008405694192299506
16,1,3,0.0
17,2,3,0.0023774174402863197
18,3,3,0.001723939184779062
19,4,3,0.0008474211309293996
20,0,4,0.0019299859913491785
21,1,4,0.0
22,2,4,0.0014465262675899745
23,3,4,0.0031641678495006867
24,4,4,0.0014332846577183318
25,0,5,0.007619470466035374
26,1,5,0.0
27,2,5,0.003872128311847332
28,3,5,0.001665338278729172
29,4,5,0.008226164194965245
30,0,6,0.03980773111277393
31,1,6,0.0
32,2,6,0.01453102908202
33,3,6,0.003447424504705339
34,4,6,0.029017618400802855
35,0,7,0.11837707454222336
36,1,7,0.01282051282051282
37,2,7,0.02645198597140317
38,3,7,0.01696952280397885
39,4,7,0.05976985969623706
40,0,8,0.2611242749048713
41,1,8,0.0
42,2,8,0.03497235612671388
43,3,8,0.015015429296444834
44,4,8,0.09688124647896224
45,0,9,0.13222979059404844
46,1,9,0.02564102564102564
47,2,9,0.02798444260853876
48,3,9,0.01711856619653566
49,4,9,0.07073141037187707
50,0,10,0.03978312693504577
51,1,10,0.038461538461538464
52,2,10,0.027247154894435972
53,3,10,0.014834893897398725
54,4,10,0.041436218885430434
55,0,11,0.03634501173422925
56,1,11,0.0
57,2,11,0.0344841320382917
58,3,11,0.021046093801474975
59,4,11,0.04443334713414842
60,0,12,0.03948457304286464
61,1,12,0.0
62,2,12,0.0415990876380499
63,3,12,0.030132885857206314
64,4,12,0.05525811521963209
65,0,13,0.03796607183530756
66,1,13,0.7307692307692308
67,2,13,0.04413728241829399
68,3,13,0.028251269581223742
69,4,13,0.051120023363702076
70,0,14,0.03319023046470973
71,1,14,0.05128205128205128
72,2,14,0.04151015475744143
73,3,14,0.02701823192505468
74,4,14,0.04627778903574993
75,0,15,0.034579937004056205
76,1,15,0.01282051282051282
77,2,15,0.04889674929960036
78,3,15,0.048864620437815524
79,4,15,0.052019979201186665
80,0,16,0.03640433082743445
81,1,16,0.01282051282051282
82,2,16,0.07038579286586351
83,3,16,0.09233607341325549
84,4,16,0.06463119581807142
85,0,17,0.0529580533452944
86,1,17,0.02564102564102564
87,2,17,0.12687841097139652
88,3,17,0.2314188528581843
89,4,17,0.09995732862626351
90,0,18,0.04730355017198243
91,1,18,0.038461538461538464
92,2,18,0.14579986456022684
93,3,18,0.198330408609751
94,4,18,0.09584699168376451
95,0,19,0.02631159045895706
96,1,19,0.02564102564102564
97,2,19,0.10535821603554553
98,3,19,0.10073531177877974
99,4,19,0.06897343272345942
100,0,20,0.018771614315713475
101,1,20,0.0
102,2,20,0.07354635173388017
103,3,20,0.05842694752798548
104,4,20,0.04428920427640593
105,0,21,0.014839939042733138
106,1,21,0.0
107,2,21,0.046933050023612394
108,3,21,0.037889764833623815
109,4,21,0.02888554532855754
110,0,22,0.008994347848712577
111,1,22,0.01282051282051282
112,2,22,0.03391707978363807
113,3,22,0.025652168703123007
114,4,22,0.01952415550737192
115,0,23,0.005172015327862667
116,1,23,0.0
117,2,23,0.023612003790507118
118,3,23,0.013807779859671125
119,4,23,0.010762890014002827
