,Cluster Label,variable,value
0,0,0,0.003925125591633763
1,1,0,0.009433962264150943
2,2,0,0.005980754737045778
3,3,0,0.0034368132703024926
4,4,0,0.005415525726807103
5,0,1,0.002375239626777724
6,1,1,0.0
7,2,1,0.0033765573717731085
8,3,1,0.0022530531083039536
9,4,1,0.0031598084373329104
10,0,2,0.0012488471728302687
11,1,2,0.0
12,2,2,0.0023853030570154094
13,3,2,0.0009029171787145521
14,4,2,0.0013363565341290135
15,0,3,0.0006763449089851948
16,1,3,0.0
17,2,3,0.0017396373478483459
18,3,3,0.0006626064285222121
19,4,3,0.0008681145433254298
20,0,4,0.004934253809972565
21,1,4,0.0
22,2,4,0.0025480377064260712
23,3,4,0.004761900127799315
24,4,4,0.0015191814255239486
25,0,5,0.0028820124036134185
26,1,5,0.0
27,2,5,0.012731436519810038
28,3,5,0.014229419642512108
29,4,5,0.005605454984117452
30,0,6,0.009647727721971927
31,1,6,0.0
32,2,6,0.045278705011512245
33,3,6,0.05502252020364649
34,4,6,0.019368421166752657
35,0,7,0.023442159526960726
36,1,7,0.031914893617021274
37,2,7,0.11089497396204387
38,3,7,0.14079724376891958
39,4,7,0.04625428637882196
40,0,8,0.04093313930421082
41,1,8,0.010638297872340425
42,2,8,0.12960580218783643
43,3,8,0.26802277818343667
44,4,8,0.07522365259002735
45,0,9,0.031194007958175174
46,1,9,0.030710558008831795
47,2,9,0.06810420202476979
48,3,9,0.08863392567713604
49,4,9,0.05640809265122001
50,0,10,0.023750761159137903
51,1,10,0.010638297872340425
52,2,10,0.04511174041224369
53,3,10,0.04174437582623273
54,4,10,0.04122099689504663
55,0,11,0.03500127077400462
56,1,11,0.07205941389000402
57,2,11,0.04592335953983379
58,3,11,0.03598553763515476
59,4,11,0.045433093804095846
60,0,12,0.04705284268383122
61,1,12,0.18085106382978725
62,2,12,0.04876687378163652
63,3,12,0.027232614625933443
64,4,12,0.051356717856484047
65,0,13,0.04267585727402554
66,1,13,0.041348855881172215
67,2,13,0.04135431665740873
68,3,13,0.029798568021082685
69,4,13,0.04922729730950402
70,0,14,0.04320493427709545
71,1,14,0.0
72,2,14,0.04046381047614747
73,3,14,0.021379172639123676
74,4,14,0.04821926515270787
75,0,15,0.06780212965949295
76,1,15,0.050782818145323164
77,2,15,0.04519791971345682
78,3,15,0.027221429943814435
79,4,15,0.056271120301712434
80,0,16,0.12841538631730426
81,1,16,0.10497792051384987
82,2,16,0.047545036169373736
83,3,16,0.037525589248776206
84,4,16,0.0786006588448929
85,0,17,0.2432960629681371
86,1,17,0.10156563629064633
87,2,17,0.06583781883459033
88,3,17,0.046738589301424195
89,4,17,0.12103788271595824
90,0,18,0.12203521750973986
91,1,18,0.14271376957045362
92,2,18,0.07463766923210123
93,3,18,0.05730243035207377
94,4,18,0.10555362265529786
95,0,19,0.05171449308449155
96,1,19,0.14150943396226415
97,2,19,0.06353149605067603
98,3,19,0.038062561599709416
99,4,19,0.07252344314344841
100,0,20,0.03351965896776987
101,1,20,0.02007226013649137
102,2,20,0.03993865294351237
103,3,20,0.026631916139613222
104,4,20,0.04681831143295167
105,0,21,0.020285463996527142
106,1,21,0.050782818145323164
107,2,21,0.029238152926389253
108,3,21,0.013844852618754185
109,4,21,0.032229404073834594
110,0,22,0.013262522938251505
111,1,22,0.0
112,2,22,0.019293835424375523
113,3,22,0.009178086649854792
114,4,22,0.024201825723824153
115,0,23,0.00672454036505933
116,1,23,0.0
117,2,23,0.010513907912173276
118,3,23,0.008631097809158925
119,4,23,0.012147465652183508
