,EM Label,variable,value
0,0,0,0.003674217926157147
1,1,0,0.0044452049384995085
2,2,0,0.006468999996585216
3,3,0,0.0009335595842443384
4,0,1,0.002165862304878704
5,1,1,0.0023833446024066176
6,2,1,0.003820328376711922
7,3,1,8.394191219675983e-05
8,0,2,0.0010184605487196224
9,1,2,0.0011716758047939984
10,2,2,0.0022750132219922633
11,3,2,0.0
12,0,3,0.001790976783677188
13,1,3,0.0008713922158632149
14,2,3,0.0010460820799178974
15,3,3,0.0
16,0,4,0.004417894999535436
17,1,4,0.002098985706273801
18,2,4,0.0011196561402136021
19,3,4,0.026648143470573375
20,0,5,0.016119934500138967
21,1,5,0.006617594939427346
22,2,5,0.006742660098359147
23,3,5,0.00032572140929540595
24,0,6,0.05863999866327303
25,1,6,0.023614080039576105
26,2,6,0.023527221269751868
27,3,6,0.002368582957244835
28,0,7,0.14145219302981624
29,1,7,0.0658124306525579
30,2,7,0.055268579740833136
31,3,7,0.010011100916794032
32,0,8,0.1906400270884167
33,1,8,0.07944520312474478
34,2,8,0.08933180179243289
35,3,8,0.0218709605982394
36,0,9,0.07879136059982969
37,1,9,0.061930263363829625
38,2,9,0.05284466272772322
39,3,9,0.00886225058328249
40,0,10,0.04557425217437708
41,1,10,0.04873829861574114
42,2,10,0.03452462498341916
43,3,10,0.013151384831307528
44,0,11,0.04436107305978528
45,1,11,0.051491997536178384
46,2,11,0.04010366612685531
47,3,11,0.019275773265836744
48,0,12,0.03911106423283772
49,1,12,0.06030984096435815
50,2,12,0.0475101102442183
51,3,12,0.02620754350285639
52,0,13,0.03330762700287038
53,1,13,0.04961106672800056
54,2,13,0.04615859637005627
55,3,13,0.017246834219492822
56,0,14,0.03258673130268772
57,1,14,0.04892781016588059
58,2,14,0.042877814799741114
59,3,14,0.03293264788562112
60,0,15,0.03832133165523804
61,1,15,0.053778705494567154
62,2,15,0.05474570038149685
63,3,15,0.06868610815931785
64,0,16,0.04147678809701995
65,1,16,0.06945963061539275
66,2,16,0.08173426874387495
67,3,16,0.1334171799436402
68,0,17,0.051602722822106616
69,1,17,0.09526027220531672
70,2,17,0.13619044380334627
71,3,17,0.3364616808758759
72,0,18,0.05949798006258668
73,1,18,0.09442969351109291
74,2,18,0.10148627936475764
75,3,18,0.16740507610868358
76,0,19,0.047252277723133944
77,1,19,0.07439064250301218
78,2,19,0.06450145996807508
79,3,19,0.0605568071442734
80,0,20,0.031082018179879496
81,1,20,0.04277377647153092
82,2,20,0.043152914601010936
83,3,20,0.030514328653636003
84,0,21,0.018317128863650167
85,1,21,0.03211823870831597
86,2,21,0.02993718877156811
87,3,21,0.01801810079147723
88,0,22,0.01125400077742921
89,1,22,0.020897136977088063
90,2,22,0.022328938693984866
91,3,22,0.004360784128028199
92,0,23,0.00754407760195506
93,1,23,0.009422714115551576
94,2,23,0.012302987703074144
95,3,23,0.0006614890580824453
