index,station_id,num_bikes_available,num_docks_available,Station,Unnamed: 0,Cluster Label,EM Label,name,longitude,latitude
6,52,12,2,31603,284,4-2,2,1st & M St NE,-77.0056,38.9057
13,159,20,1,31263,186,4-2,2,10th & K St NW,-77.02622,38.9024
1,23,16,2,31201,125,4-2,2,15th & P St NW,-77.034438,38.90985
0,72,1,18,31215,138,4-2,2,Georgetown Harbor / 30th St NW,-77.059219,38.90222120000001
19,390,2,17,31283,206,4-2,2,14th & L St NW,-77.03173699999999,38.903658
12,152,14,1,31708,333,4-2,1,Anacostia Ave & Benning Rd NE / River Terrace ,-76.96011999999999,38.896544
20,402,2,20,31641,322,4-2,2,2nd St & Massachusetts Ave NE,-77.003135,38.894971999999996
8,56,1,9,31605,286,4-2,2,3rd & D St SE,-77.0023,38.8851
4,39,2,9,31801,335,4-2,2,Anacostia Metro,-76.994637,38.862669
10,78,2,16,31613,294,4-2,2,Eastern Market Metro / Pennsylvania Ave & 7th St SE,-76.995397,38.884
7,55,2,12,31604,285,4-2,2,3rd & H St NW,-77.015289,38.899408
5,46,0,15,31110,104,4-2,2,20th St & Florida Ave NW,-77.0446,38.9154
23,489,1,13,31127,121,4-2,2,22nd & H St NW,-77.048946,38.899104
2,26,0,15,31204,128,4-2,2,20th & E St NW,-77.045,38.8963
9,75,14,0,31218,141,4-2,2,L'Enfant Plaza / 7th & C St SW,-77.02224100000001,38.886266
15,186,18,1,31251,174,4-2,2,12th & L St NW,-77.0284,38.903819
22,485,1,18,31299,222,4-2,2,Connecticut Ave & R St NW,-77.04564,38.912644
11,124,0,28,31240,163,4-2,1,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.04656999999999,38.88412
21,410,2,16,31290,213,4-2,2,17th St & Independence Ave SW,-77.038325,38.888096999999995
18,369,23,0,31639,320,4-2,2,2nd & G St NE,-77.00366600000001,38.89967
14,162,15,0,31628,309,4-2,2,1st & K St SE,-77.00572729110719,38.878854378063295
17,353,22,1,31517,275,4-2,2,Union Market,-76.99707,38.907908
3,30,0,11,31502,260,4-2,2,John McCormack Dr & Michigan Ave NE,-76.9955,38.9346
16,247,0,13,31269,192,4-2,2,3rd St & Pennsylvania Ave SE,-77.00195500000001,38.887378000000005
