,Station,bikes out,bikes in,diff,diff_abs,imbalance ratio,ratio,class,name,longitude,latitude
85,31086,61,93,32,32,0.5245901639344263,5.245901639344263,1,Mount Vernon Ave & E Del Ray Ave,-77.058541,38.82595
86,31087,146,123,-23,23,0.1869918699186992,-1.8699186991869918,0,Monroe Ave & Leslie Ave,-77.053096,38.820932
87,31088,101,111,10,10,0.099009900990099,0.9900990099009901,1,Mount Vernon Ave & Kennedy St,-77.059821,38.833077
88,31089,480,361,-119,119,0.3296398891966759,-3.296398891966759,0,Court House Metro / 15th St & N Uhle St,-77.084801,38.890612
89,31090,50,53,3,3,0.06,0.6,1,Long Bridge Park / Long Bridge Dr & 6th St S,-77.05003,38.865553
90,31091,192,159,-33,33,0.2075471698113208,-2.0754716981132075,0,Joyce St & 16th St S,-77.063275,38.859254
91,31092,21,20,-1,1,0.05,-0.5,0,Lee Hwy & N Monroe St,-77.104562,38.896456
92,31093,151,103,-48,48,0.4660194174757282,-4.660194174757281,0,21st St & N Pierce St,-77.078317,38.898984
93,31094,40,75,35,35,0.875,8.75,1,Lee Hwy & N Kirkwood Rd,-77.09713,38.895377
94,31095,30,10,-20,20,2.0,-20.0,0,Army Navy Dr & S Nash St,-77.06812083721161,38.86215024521491
95,31096,40,45,5,5,0.125,1.25,1,Walter Reed Dr & 8th St S,-77.08787,38.86612
96,31097,87,112,25,25,0.28735632183908044,2.8735632183908044,1,Saint Asaph St & Madison St,-77.044097,38.812718
97,31098,320,390,70,70,0.21875,2.1875,1,King St Metro North / Cameron St,-77.059817,38.80704
98,31099,66,50,-16,16,0.32,-3.2,0,Madison St & N Henry St,-77.049468,38.813485
99,31100,550,497,-53,53,0.10663983903420524,-1.0663983903420524,0,19th St & Pennsylvania Ave NW,-77.0429,38.9003
100,31101,1660,1817,157,157,0.09457831325301204,0.9457831325301205,1,14th & V St NW,-77.032112,38.917931
101,31102,911,709,-202,202,0.2849083215796897,-2.849083215796897,0,11th & Kenyon St NW,-77.027822,38.929464
102,31103,968,446,-522,522,1.1704035874439462,-11.704035874439462,0,16th & Harvard St NW,-77.036536,38.926088
103,31104,1116,929,-187,187,0.20129171151776104,-2.0129171151776104,0,Adams Mill & Columbia Rd NW,-77.042581,38.922925
104,31105,507,211,-296,296,1.4028436018957346,-14.028436018957347,0,14th & Harvard St NW,-77.0322,38.9268
105,31106,275,105,-170,170,1.619047619047619,-16.19047619047619,0,Calvert & Biltmore St NW,-77.047637,38.923203
106,31107,735,617,-118,118,0.1912479740680713,-1.912479740680713,0,Lamont & Mt Pleasant NW,-77.0388,38.9319
107,31108,1039,1141,102,102,0.09817131857555343,0.9817131857555341,1,4th & M St SW,-77.0178,38.8767
108,31109,1000,1089,89,89,0.08900000000000001,0.8899999999999999,1,7th & T St NW,-77.0222,38.9155
109,31110,1268,1190,-78,78,0.06554621848739496,-0.6554621848739496,0,20th St & Florida Ave NW,-77.0446,38.9154
110,31111,673,699,26,26,0.038632986627043085,0.3863298662704309,1,10th & U St NW,-77.0259,38.9172
111,31112,123,122,-1,1,0.008196721311475409,-0.0819672131147541,0,Harvard St & Adams Mill Rd NW,-77.043358,38.927872
112,31113,721,409,-312,312,0.7628361858190709,-7.628361858190709,0,Columbia Rd & Belmont St NW,-77.04368,38.920669
113,31114,1104,922,-182,182,0.19739696312364424,-1.9739696312364425,0,18th St & Wyoming Ave NW,-77.041571,38.918809
114,31115,606,387,-219,219,0.5658914728682171,-5.658914728682171,0,Columbia Rd & Georgia Ave NW,-77.0237946510315,38.92812111132096
115,31116,912,962,50,50,0.05482456140350877,0.5482456140350876,1,California St & Florida Ave NW,-77.04062,38.917761
116,31117,723,402,-321,321,0.7985074626865671,-7.985074626865671,0,15th & Euclid St  NW,-77.0352,38.92333
117,31118,473,422,-51,51,0.12085308056872038,-1.2085308056872037,0,3rd & Elm St NW,-77.01597,38.917622
118,31119,1041,908,-133,133,0.14647577092511013,-1.4647577092511013,0,14th & Belmont St NW,-77.031887,38.921074
119,31120,401,342,-59,59,0.17251461988304093,-1.7251461988304093,0,10th & Florida Ave NW,-77.025672,38.920387
120,31121,1093,943,-150,150,0.15906680805938495,-1.5906680805938493,0,Calvert St & Woodley Pl NW,-77.050046,38.923583
121,31122,622,402,-220,220,0.5472636815920398,-5.4726368159203975,0,16th & Irving St NW,-77.03625,38.928893
122,31123,666,231,-435,435,1.8831168831168832,-18.83116883116883,0,14th & Girard St NW,-77.032375,38.925284
123,31124,1583,968,-615,615,0.6353305785123967,-6.353305785123967,0,14th & Irving St NW,-77.032224,38.928552
124,31125,963,956,-7,7,0.007322175732217573,-0.07322175732217573,0,15th & W St NW,-77.034502,38.919086
125,31126,815,612,-203,203,0.33169934640522875,-3.3169934640522873,0,11th & Girard St NW,-77.027112,38.925636
126,31127,477,446,-31,31,0.06950672645739911,-0.695067264573991,0,22nd & H St NW,-77.048946,38.899104
127,31128,912,1045,133,133,0.14583333333333334,1.4583333333333335,1,23rd & M St NW,-77.050264,38.905303
128,31129,441,596,155,155,0.35147392290249435,3.5147392290249435,1,15th St & Pennsylvania Ave NW,-77.03338,38.89635
129,31200,1934,2489,555,555,0.2869700103412616,2.869700103412616,1,Massachusetts Ave & Dupont Circle NW,-77.0444,38.9101
130,31201,2440,2668,228,228,0.09344262295081968,0.9344262295081968,1,15th & P St NW,-77.034438,38.90985
131,31202,1312,1489,177,177,0.13490853658536586,1.3490853658536586,1,14th & R St NW,-77.032523,38.912681
132,31203,1453,1568,115,115,0.0791465932553338,0.791465932553338,1,14th & Rhode Island Ave NW,-77.0323,38.9086
133,31204,559,567,8,8,0.014311270125223612,0.14311270125223613,1,20th & E St NW,-77.045,38.8963
134,31205,662,800,138,138,0.2084592145015106,2.084592145015106,1,21st & I St NW,-77.04644858837128,38.90071062547463
135,31206,215,230,15,15,0.06976744186046513,0.6976744186046512,1,19th & E Street NW,-77.0436,38.8952
136,31207,237,132,-105,105,0.7954545454545454,-7.954545454545454,0,Georgia Ave and Fairmont St NW,-77.0222,38.9249
137,31208,369,510,141,141,0.3821138211382114,3.821138211382114,1,M St & New Jersey Ave SE,-77.0037,38.8763
138,31209,197,258,61,61,0.3096446700507614,3.096446700507614,1,1st & N St  SE,-77.0057,38.8743
139,31211,367,450,83,83,0.22615803814713895,2.26158038147139,1,Kennedy Center,-77.05557,38.897293
140,31212,1143,1215,72,72,0.06299212598425198,0.6299212598425197,1,21st & M St NW,-77.046774,38.90534
141,31213,1046,1439,393,393,0.37571701720841294,3.75717017208413,1,17th & K St NW,-77.03863,38.90276
142,31214,1483,1584,101,101,0.06810519217801753,0.6810519217801753,1,17th & Corcoran St NW,-77.0387,38.9121
143,31215,352,686,334,334,0.9488636363636364,9.488636363636363,1,Georgetown Harbor / 30th St NW,-77.059219,38.9022212
144,31216,618,691,73,73,0.11812297734627833,1.1812297734627832,1,14th St & New York Ave NW,-77.031686,38.899632
145,31217,623,627,4,4,0.006420545746388443,0.06420545746388442,1,USDA / 12th & C St SW,-77.02824175357819,38.88627694506511
146,31218,734,799,65,65,0.0885558583106267,0.8855585831062671,1,L'Enfant Plaza / 7th & C St SW,-77.022241,38.886266
147,31219,518,680,162,162,0.3127413127413127,3.1274131274131274,1,10th St & Constitution Ave NW,-77.026013,38.893028
148,31220,481,475,-6,6,0.01263157894736842,-0.12631578947368421,0,US Dept of State / Virginia Ave & 21st St NW,-77.046587,38.894919
149,31221,936,1077,141,141,0.15064102564102566,1.5064102564102564,1,18th & M St NW,-77.04177886247635,38.90506687455313
150,31222,844,912,68,68,0.08056872037914692,0.8056872037914692,1,New York Ave & 15th St NW,-77.03335404396057,38.89903234416315
151,31223,1131,1056,-75,75,0.07102272727272728,-0.7102272727272728,0,Convention Center / 7th & M St NW,-77.02227,38.905737
152,31224,626,729,103,103,0.1645367412140575,1.645367412140575,1,18th & L St NW,-77.04245209693909,38.903741450919384
153,31225,516,658,142,142,0.2751937984496124,2.751937984496124,1,C & O Canal & Wisconsin Ave NW,-77.06269,38.90375
154,31226,337,222,-115,115,0.5180180180180181,-5.18018018018018,0,34th St & Wisconsin Ave NW,-77.0682,38.916442
155,31227,764,922,158,158,0.20680628272251309,2.068062827225131,1,13th St & New York Ave NW,-77.029822,38.900283
156,31228,1240,1538,298,298,0.2403225806451613,2.403225806451613,1,8th & H St NW,-77.023086,38.8997
157,31229,1926,1876,-50,50,0.026652452025586356,-0.26652452025586354,0,New Hampshire Ave & T St NW,-77.03818,38.91554
158,31230,996,1222,226,226,0.22690763052208834,2.2690763052208833,1,Metro Center / 12th & G St NW,-77.027869,38.898364
159,31231,600,750,150,150,0.25,2.5,1,14th & D St NW / Ronald Reagan Building,-77.031617,38.894514
160,31232,827,1050,223,223,0.2696493349455865,2.6964933494558645,1,7th & F St NW / National Portrait Gallery,-77.02232480049133,38.89731227340173
161,31233,960,1249,289,289,0.30104166666666665,3.0104166666666665,1,17th & K St NW / Farragut Square,-77.038322,38.902061
162,31234,912,987,75,75,0.08223684210526316,0.8223684210526316,1,20th & O St NW / Dupont South,-77.04478,38.908905
163,31235,340,393,53,53,0.15588235294117647,1.5588235294117647,1,19th St & Constitution Ave NW,-77.0436,38.8923
164,31236,716,641,-75,75,0.11700468018720747,-1.1700468018720749,0,37th & O St NW / Georgetown University,-77.071652,38.90774
165,31237,760,870,110,110,0.14473684210526316,1.4473684210526316,1,25th St & Pennsylvania Ave NW,-77.053485,38.903827
166,31238,843,939,96,96,0.11387900355871886,1.1387900355871885,1,14th & G St NW,-77.032278,38.898409
167,31239,962,1107,145,145,0.15072765072765076,1.5072765072765073,1,Rhode Island & Connecticut Ave NW,-77.03980207443237,38.905995699991145
168,31240,311,318,7,7,0.022508038585209004,0.22508038585209003,1,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.04657,38.88412
169,31241,1616,1417,-199,199,0.14043754410726889,-1.404375441072689,0,Thomas Circle,-77.0325,38.9059
170,31242,822,791,-31,31,0.03919089759797725,-0.3919089759797725,0,18th St & Pennsylvania Ave NW,-77.041539,38.89968
171,31243,578,665,87,87,0.15051903114186851,1.505190311418685,1,4th & C St SW,-77.01770067214966,38.88637194054526
172,31244,903,946,43,43,0.047619047619047616,0.47619047619047616,1,4th & E St SW,-77.017445,38.88412
173,31245,963,984,21,21,0.02180685358255452,0.21806853582554517,1,7th & R St NW / Shaw Library,-77.022155,38.912719
174,31246,766,1056,290,290,0.3785900783289817,3.7859007832898173,1,M St & Pennsylvania Ave NW,-77.056887,38.905126
175,31247,1033,1137,104,104,0.10067763794772508,1.0067763794772508,1,Jefferson Dr & 14th St SW,-77.032429,38.888553
176,31248,833,846,13,13,0.0156062424969988,0.15606242496998798,1,Smithsonian-National Mall / Jefferson Dr & 12th St SW,-77.02858,38.888767
177,31249,758,821,63,63,0.08311345646437995,0.8311345646437995,1,Jefferson Memorial,-77.037413,38.879819
178,31250,536,557,21,21,0.039179104477611935,0.3917910447761194,1,20th & L St NW,-77.044789,38.903584
179,31251,780,750,-30,30,0.04,-0.4,0,12th & L St NW,-77.0284,38.903819
180,31252,519,544,25,25,0.048169556840077066,0.4816955684007707,1,21st St & Pennsylvania Ave NW,-77.046564,38.901539
181,31253,542,555,13,13,0.023985239852398525,0.23985239852398527,1,19th & K St NW,-77.04337,38.902204
182,31254,709,786,77,77,0.1086036671368124,1.0860366713681242,1,15th & K St NW,-77.03353,38.902
183,31255,789,807,18,18,0.02281368821292776,0.22813688212927757,1,24th & N St NW,-77.05152,38.9066
184,31256,555,732,177,177,0.3189189189189189,3.1891891891891895,1,10th & E St NW,-77.026064,38.895914
185,31257,871,871,0,0,0.0,0.0,1,22nd & I St NW / Foggy Bottom,-77.048911,38.90088
186,31258,1301,1341,40,40,0.030745580322828595,0.3074558032282859,1,Lincoln Memorial,-77.049426,38.888251
187,31259,231,260,29,29,0.12554112554112554,1.2554112554112553,1,20th St & Virginia Ave NW,-77.045128,38.894722
188,31260,515,469,-46,46,0.09808102345415777,-0.9808102345415779,0,23rd & E St NW ,-77.049882,38.896104
189,31261,247,310,63,63,0.2550607287449393,2.550607287449393,1,21st St & Constitution Ave NW,-77.046567,38.892459
190,31262,458,598,140,140,0.3056768558951965,3.056768558951965,1,11th & F St NW,-77.026975,38.897857
191,31263,930,917,-13,13,0.014176663031624863,-0.14176663031624864,0,10th & K St NW,-77.02622,38.9024
192,31264,702,783,81,81,0.1153846153846154,1.153846153846154,1,6th St & Indiana Ave NW,-77.01994,38.894573
193,31265,1218,1220,2,2,0.0016420361247947454,0.016420361247947456,1,5th St & Massachusetts Ave NW,-77.018677,38.90093
194,31266,1276,1168,-108,108,0.09246575342465753,-0.9246575342465753,0,11th & M St NW,-77.027137,38.905607
195,31267,1229,1207,-22,22,0.018227009113504555,-0.18227009113504555,0,17th St & Massachusetts Ave NW,-77.038359,38.908142
196,31268,874,909,35,35,0.04004576659038902,0.4004576659038902,1,12th & U St NW,-77.028139,38.916787
197,31269,641,575,-66,66,0.11478260869565216,-1.1478260869565218,0,3rd St & Pennsylvania Ave SE,-77.001955,38.887378
198,31270,548,687,139,139,0.25364963503649635,2.5364963503649633,1,8th & D St NW,-77.02324,38.894851
199,31271,836,859,23,23,0.02751196172248804,0.2751196172248804,1,Constitution Ave & 2nd St NW/DOL,-77.013917,38.892275
200,31272,611,769,158,158,0.25859247135842883,2.5859247135842884,1,Washington & Independence Ave SW/HHS,-77.013769,38.886978
201,31273,148,163,15,15,0.10135135135135136,1.0135135135135136,1,Hains Point/Buckeye & Ohio Dr SW,-77.03023,38.878433
202,31274,485,608,123,123,0.2536082474226804,2.536082474226804,1,10th & G St NW,-77.02623546123505,38.89824328774852
203,31275,975,1028,53,53,0.05435897435897436,0.5435897435897437,1,New Hampshire Ave & 24th St NW,-77.051084,38.901755
204,31276,658,698,40,40,0.06079027355623101,0.60790273556231,1,15th & L St NW,-77.034846,38.90366
205,31277,985,1030,45,45,0.045685279187817264,0.45685279187817257,1,17th & G St NW,-77.03973233699799,38.89829964921176
206,31278,1047,1050,3,3,0.0028653295128939827,0.028653295128939826,1,18th & R St NW,-77.041834,38.912648
207,31279,646,628,-18,18,0.028662420382165606,-0.28662420382165604,0,19th & G St NW,-77.043182,38.898412
208,31280,636,582,-54,54,0.09278350515463918,-0.9278350515463918,0,11th & S St NW,-77.027025,38.913761
209,31281,1468,1485,17,17,0.011580381471389643,0.11580381471389645,1,8th & O St NW,-77.02277,38.90864
210,31282,731,722,-9,9,0.012465373961218836,-0.12465373961218837,0,16th & R St NW,-77.036278,38.912652
211,31283,788,828,40,40,0.05076142131979696,0.5076142131979695,1,14th & L St NW,-77.031737,38.903658
212,31284,337,383,46,46,0.13649851632047474,1.3649851632047478,1,18th & C St NW,-77.041544,38.893511
213,31285,663,749,86,86,0.1297134238310709,1.297134238310709,1,22nd & P ST NW,-77.048728,38.909394
214,31286,863,796,-67,67,0.08417085427135679,-0.8417085427135679,0,11th & O St NW,-77.02714,38.90843
215,31287,248,152,-96,96,0.631578947368421,-6.315789473684211,0,10th St & L'Enfant Plaza SW,-77.02601015567778,38.88432272414662
216,31288,842,921,79,79,0.09382422802850356,0.9382422802850355,1,4th St & Madison Dr NW,-77.017253,38.890493
217,31289,792,803,11,11,0.013888888888888888,0.1388888888888889,1,Henry Bacon Dr & Lincoln Memorial Circle NW,-77.049379,38.890544
218,31290,627,611,-16,16,0.02618657937806874,-0.2618657937806874,0,17th St & Independence Ave SW,-77.038325,38.888097
219,31291,377,432,55,55,0.14588859416445624,1.4588859416445623,1,Vermont Ave & I St NW,-77.03445106744766,38.901136451737045
220,31292,281,269,-12,12,0.044609665427509285,-0.44609665427509293,0,22nd St & Constitution Ave NW,-77.048947,38.892441
221,31293,275,522,247,247,0.8981818181818182,8.981818181818182,1,31st & Water St NW,-77.061043,38.902814
222,31294,341,346,5,5,0.014662756598240468,0.1466275659824047,1,7th & E St SW,-77.021741,38.88345
223,31295,400,561,161,161,0.4025,4.025,1,Potomac & M St NW,-77.065149,38.905368
224,31296,808,532,-276,276,0.5187969924812029,-5.18796992481203,0,Columbia & Ontario Rd NW,-77.040787,38.924088
225,31297,228,287,59,59,0.25877192982456143,2.5877192982456143,1,Virginia Ave & 25th St NW,-77.054155,38.8995
226,31298,820,796,-24,24,0.03015075376884422,-0.3015075376884422,0,15th & M St NW,-77.034674,38.905424
227,31299,772,790,18,18,0.023316062176165803,0.23316062176165803,1,Connecticut Ave & R St NW,-77.04564,38.912644
228,31300,248,282,34,34,0.13709677419354838,1.3709677419354838,1,Van Ness Metro / UDC,-77.063896,38.944551
229,31301,168,116,-52,52,0.4482758620689655,-4.482758620689655,0,Ward Circle / American University,-77.087171,38.938736
230,31302,386,247,-139,139,0.5627530364372471,-5.627530364372469,0,Wisconsin Ave & Newark St NW,-77.072755,38.934881
231,31303,378,156,-222,222,1.4230769230769231,-14.230769230769232,0,Tenleytown / Wisconsin Ave & Albemarle St NW,-77.079382,38.947607
232,31304,210,102,-108,108,1.0588235294117647,-10.588235294117647,0,36th & Calvert St NW / Glover Park,-77.070334,38.922581
233,31305,301,275,-26,26,0.09454545454545454,-0.9454545454545454,0,Connecticut Ave & Newark St NW / Cleveland Park,-77.057979,38.934267
234,31306,322,104,-218,218,2.0961538461538463,-20.961538461538463,0,39th & Calvert St NW / Stoddert,-77.077271,38.922649
235,31307,375,285,-90,90,0.3157894736842105,-3.1578947368421053,0,3000 Connecticut Ave NW / National Zoo,-77.055599,38.930282
