,Station,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,pick_up_sum,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0,return_sum
0,31000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.1276595744680851,0.1702127659574468,0.0851063829787234,0.1702127659574468,0.06382978723404255,0.0851063829787234,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.10638297872340426,0.0,0.0425531914893617,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.05,0.075,0.075,0.025,0.05,0.025,0.15,0.125,0.2,0.1,0.0,0.05,0.0,0.0,40
1,31001,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0759493670886076,0.189873417721519,0.05063291139240506,0.0379746835443038,0.0379746835443038,0.05063291139240506,0.0379746835443038,0.05063291139240506,0.0379746835443038,0.06329113924050633,0.10126582278481013,0.08860759493670886,0.08860759493670886,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.012658227848101266,79,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.08823529411764706,0.04411764705882353,0.0,0.014705882352941176,0.07352941176470588,0.07352941176470588,0.04411764705882353,0.014705882352941176,0.07352941176470588,0.1323529411764706,0.14705882352941177,0.08823529411764706,0.058823529411764705,0.07352941176470588,0.04411764705882353,0.0,0.0,68
2,31002,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.022222222222222223,0.08333333333333333,0.17222222222222222,0.17222222222222222,0.044444444444444446,0.027777777777777776,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.07222222222222222,0.027777777777777776,0.03888888888888889,0.07222222222222222,0.016666666666666666,0.03333333333333333,0.005555555555555556,0.0,0.0,180,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.0,0.050505050505050504,0.06060606060606061,0.15656565656565657,0.1111111111111111,0.07575757575757576,0.04040404040404041,0.045454545454545456,0.04040404040404041,0.04040404040404041,0.045454545454545456,0.12121212121212122,0.10101010101010101,0.0707070707070707,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.0,0.0,198
3,31003,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0427807486631016,0.0213903743315508,0.10160427807486631,0.058823529411764705,0.0374331550802139,0.09090909090909091,0.10695187165775401,0.08021390374331551,0.0427807486631016,0.058823529411764705,0.10695187165775401,0.10160427807486631,0.08021390374331551,0.026737967914438502,0.016042780748663103,0.016042780748663103,0.0,0.0053475935828877,187,0.0,0.0,0.0,0.0,0.0,0.0,0.016853932584269662,0.1404494382022472,0.0898876404494382,0.0898876404494382,0.05056179775280899,0.07865168539325842,0.0449438202247191,0.09550561797752809,0.02247191011235955,0.02247191011235955,0.11235955056179775,0.0898876404494382,0.0898876404494382,0.016853932584269662,0.0,0.016853932584269662,0.016853932584269662,0.0056179775280898875,178
4,31004,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.11864406779661017,0.17796610169491525,0.15254237288135594,0.0847457627118644,0.025423728813559324,0.059322033898305086,0.07627118644067797,0.0423728813559322,0.00847457627118644,0.025423728813559324,0.05084745762711865,0.05084745762711865,0.07627118644067797,0.01694915254237288,0.01694915254237288,0.00847457627118644,0.0,0.0,118,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.028037383177570093,0.04672897196261682,0.037383177570093455,0.056074766355140186,0.08411214953271028,0.056074766355140186,0.056074766355140186,0.102803738317757,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.08411214953271028,0.04672897196261682,0.056074766355140186,0.009345794392523364,107
5,31005,0.01858736059479554,0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.040892193308550186,0.06319702602230483,0.08921933085501858,0.026022304832713755,0.007434944237918215,0.03345724907063197,0.07434944237918216,0.055762081784386616,0.05204460966542751,0.07063197026022305,0.16728624535315986,0.11524163568773234,0.040892193308550186,0.03345724907063197,0.04460966542750929,0.03717472118959108,0.022304832713754646,269,0.008298755186721992,0.0,0.0,0.0,0.0,0.0,0.06639004149377593,0.15352697095435686,0.07468879668049792,0.07468879668049792,0.029045643153526972,0.04149377593360996,0.03734439834024896,0.07053941908713693,0.06224066390041494,0.06224066390041494,0.08713692946058091,0.08713692946058091,0.07053941908713693,0.03319502074688797,0.02074688796680498,0.012448132780082987,0.004149377593360996,0.004149377593360996,241
6,31006,0.0,0.0,0.01,0.0,0.0,0.0,0.11,0.01,0.11,0.03,0.04,0.02,0.04,0.07,0.06,0.06,0.09,0.11,0.09,0.07,0.03,0.04,0.0,0.01,100,0.015267175572519083,0.030534351145038167,0.015267175572519083,0.0,0.0,0.0,0.007633587786259542,0.022900763358778626,0.0,0.022900763358778626,0.022900763358778626,0.030534351145038167,0.030534351145038167,0.04580152671755725,0.007633587786259542,0.09923664122137404,0.2595419847328244,0.12213740458015267,0.12213740458015267,0.022900763358778626,0.06870229007633588,0.030534351145038167,0.007633587786259542,0.015267175572519083,131
7,31007,0.020833333333333332,0.0,0.0,0.0,0.0,0.002976190476190476,0.044642857142857144,0.07142857142857142,0.10416666666666667,0.10416666666666667,0.03571428571428571,0.026785714285714284,0.03869047619047619,0.050595238095238096,0.03571428571428571,0.03571428571428571,0.047619047619047616,0.12202380952380952,0.14583333333333334,0.026785714285714284,0.044642857142857144,0.01488095238095238,0.020833333333333332,0.005952380952380952,336,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.024,0.108,0.168,0.016,0.032,0.04,0.06,0.052,0.064,0.084,0.144,0.12,0.044,0.012,0.004,0.0,0.016,250
8,31008,0.0,0.0,0.0,0.0,0.0,0.01951219512195122,0.11707317073170732,0.06341463414634146,0.14146341463414633,0.04390243902439024,0.03414634146341464,0.06829268292682927,0.04390243902439024,0.07804878048780488,0.05853658536585366,0.04878048780487805,0.04390243902439024,0.07317073170731707,0.09268292682926829,0.01951219512195122,0.014634146341463415,0.01951219512195122,0.004878048780487805,0.014634146341463415,205,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.052884615384615384,0.10576923076923077,0.08173076923076923,0.07211538461538461,0.052884615384615384,0.0673076923076923,0.07211538461538461,0.0673076923076923,0.052884615384615384,0.1201923076923077,0.11057692307692307,0.04326923076923077,0.03365384615384615,0.019230769230769232,0.02403846153846154,0.014423076923076924,0.004807692307692308,208
9,31009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.05,0.1,0.016666666666666666,0.06666666666666667,0.2,0.15,0.08333333333333333,0.06666666666666667,0.05,0.03333333333333333,0.0,0.016666666666666666,0.03333333333333333,60,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.12790697674418605,0.1744186046511628,0.1511627906976744,0.023255813953488372,0.011627906976744186,0.05813953488372093,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.09302325581395349,0.03488372093023256,0.011627906976744186,0.11627906976744186,0.0,0.03488372093023256,0.023255813953488372,0.0,86
