,Station,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,pick_up_sum,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0,return_sum
0,31000,0.002008032128514056,0.002008032128514056,0.0,0.0,0.0,0.008032128514056224,0.020080321285140562,0.02610441767068273,0.13453815261044177,0.0783132530120482,0.0642570281124498,0.03413654618473896,0.04819277108433735,0.05421686746987952,0.03413654618473896,0.04819277108433735,0.06626506024096386,0.10040160642570281,0.0963855421686747,0.10240963855421686,0.04618473895582329,0.02208835341365462,0.010040160642570281,0.002008032128514056,498,0.005917159763313609,0.0019723865877712033,0.0019723865877712033,0.0,0.0019723865877712033,0.0039447731755424065,0.0019723865877712033,0.021696252465483234,0.013806706114398421,0.023668639053254437,0.013806706114398421,0.045364891518737675,0.055226824457593686,0.04142011834319527,0.045364891518737675,0.04142011834319527,0.15384615384615385,0.1952662721893491,0.11045364891518737,0.07297830374753451,0.06903353057199212,0.03944773175542406,0.01775147928994083,0.021696252465483234,507
1,31001,0.0071301247771836,0.0035650623885918,0.0053475935828877,0.0053475935828877,0.026737967914438502,0.030303030303030304,0.023172905525846704,0.0784313725490196,0.10695187165775401,0.035650623885918005,0.03208556149732621,0.023172905525846704,0.026737967914438502,0.030303030303030304,0.023172905525846704,0.05169340463458111,0.10160427807486631,0.0962566844919786,0.11229946524064172,0.0659536541889483,0.07308377896613191,0.016042780748663103,0.017825311942959002,0.0071301247771836,561,0.015473887814313346,0.0038684719535783366,0.005802707930367505,0.005802707930367505,0.027079303675048357,0.030947775628626693,0.015473887814313346,0.09477756286266925,0.059961315280464215,0.05609284332688588,0.01160541586073501,0.02321083172147002,0.02127659574468085,0.02127659574468085,0.019342359767891684,0.02127659574468085,0.09090909090909091,0.06576402321083172,0.09671179883945841,0.08317214700193423,0.11992263056092843,0.06576402321083172,0.025145067698259187,0.019342359767891684,517
2,31002,0.0016519823788546256,0.0022026431718061676,0.0016519823788546256,0.0011013215859030838,0.0,0.005506607929515419,0.024229074889867842,0.06938325991189427,0.11288546255506608,0.06167400881057269,0.030837004405286344,0.040198237885462555,0.051762114537444934,0.04185022026431718,0.031938325991189426,0.034691629955947136,0.07984581497797356,0.13986784140969163,0.12334801762114538,0.06883259911894272,0.045704845814977975,0.015969162995594713,0.007158590308370044,0.007709251101321586,1816,0.0010660980810234541,0.0005330490405117271,0.0021321961620469083,0.0005330490405117271,0.0005330490405117271,0.004797441364605544,0.01652452025586354,0.07249466950959488,0.12899786780383796,0.08208955223880597,0.03624733475479744,0.03624733475479744,0.051705756929637525,0.04317697228144989,0.03464818763326226,0.035181236673773986,0.07729211087420043,0.13646055437100213,0.0964818763326226,0.062366737739872065,0.0511727078891258,0.015991471215351813,0.008528784648187633,0.004797441364605544,1876
3,31003,0.0,0.0,0.0008237232289950577,0.0008237232289950577,0.0008237232289950577,0.0,0.051070840197693576,0.03542009884678748,0.047775947281713346,0.051894563426688634,0.05683690280065898,0.06507413509060955,0.06507413509060955,0.048599670510708404,0.03377265238879736,0.05518945634266886,0.1400329489291598,0.1400329489291598,0.0757825370675453,0.05024711696869852,0.032948929159802305,0.019769357495881382,0.012355848434925865,0.015650741350906095,1214,0.0031821797931583136,0.0007955449482895784,0.0007955449482895784,0.0007955449482895784,0.0015910898965791568,0.0,0.035003977724741446,0.07716785998408911,0.08671439936356404,0.06364359586316627,0.046937151949085126,0.03898170246618934,0.053301511535401754,0.06364359586316627,0.035003977724741446,0.06284805091487669,0.09466984884645982,0.11535401750198886,0.10660302307080351,0.03977724741447892,0.03977724741447892,0.01988862370723946,0.007159904534606206,0.006364359586316627,1257
4,31004,0.0026246719160104987,0.0,0.0,0.0,0.0026246719160104987,0.0013123359580052493,0.09973753280839895,0.17191601049868765,0.17979002624671916,0.05905511811023622,0.04330708661417323,0.01706036745406824,0.026246719160104987,0.03412073490813648,0.01968503937007874,0.04330708661417323,0.048556430446194225,0.08136482939632546,0.08398950131233596,0.045931758530183726,0.024934383202099737,0.013123359580052493,0.0013123359580052493,0.0,762,0.0050062578222778474,0.0037546933667083854,0.0012515644555694619,0.0,0.0,0.0,0.0025031289111389237,0.0050062578222778474,0.011264080100125156,0.01376720901126408,0.02002503128911139,0.025031289111389236,0.03254067584480601,0.028785982478097622,0.028785982478097622,0.10888610763454318,0.10387984981226533,0.2327909887359199,0.14267834793491865,0.07759699624530664,0.04881101376720901,0.056320400500625784,0.03754693366708386,0.01376720901126408,799
5,31005,0.002649708532061473,0.003179650238473768,0.0005299417064122947,0.0,0.02172760996290408,0.0010598834128245894,0.0037095919448860626,0.05564387917329094,0.07737148913619502,0.05617382087970323,0.02172760996290408,0.024377318494965553,0.029146793852676205,0.0392156862745098,0.0492845786963434,0.05829358770535241,0.07313195548489666,0.15580286168521462,0.1282458929517753,0.06783253842077372,0.050344462109167994,0.04080551139374669,0.02755696873343932,0.012188659247482777,1887,0.0016189962223421479,0.0,0.0005396654074473826,0.0,0.0059363194819212085,0.0005396654074473826,0.08148947652455478,0.08580679978413383,0.10199676200755532,0.05558553696708041,0.04101457096600108,0.025364274150026983,0.040474905558553695,0.05018888289260658,0.04263356718834323,0.04749055585536967,0.08148947652455478,0.10307609282245007,0.08418780356179169,0.07015650296815974,0.050728548300053966,0.015110631408526714,0.008094981111710739,0.0064759848893685915,1853
6,31006,0.010428736964078795,0.002317497103128621,0.0011587485515643105,0.0,0.005793742757821553,0.009269988412514484,0.030127462340672075,0.06488991888760139,0.1332560834298957,0.10081112398609501,0.04055619930475087,0.03476245654692932,0.04866743916570104,0.06257242178447277,0.046349942062572425,0.03476245654692932,0.055619930475086905,0.04982618771726535,0.07879490150637311,0.0880648899188876,0.03360370799536501,0.03244495944380069,0.0220162224797219,0.013904982618771726,863,0.013598326359832637,0.0031380753138075313,0.0,0.0,0.0,0.0020920502092050207,0.005230125523012552,0.030334728033472803,0.03347280334728033,0.03347280334728033,0.034518828451882845,0.05753138075313807,0.04184100418410042,0.051255230125523014,0.056485355648535567,0.05753138075313807,0.14748953974895398,0.1098326359832636,0.11192468619246862,0.07426778242677824,0.05753138075313807,0.03347280334728033,0.02405857740585774,0.02092050209205021,956
7,31007,0.0046315789473684215,0.0012631578947368421,0.0,0.0,0.0,0.002105263157894737,0.013894736842105264,0.07621052631578948,0.12421052631578948,0.07494736842105264,0.02736842105263158,0.021894736842105262,0.03663157894736842,0.03621052631578947,0.032,0.035789473684210524,0.06778947368421052,0.17221052631578948,0.13642105263157894,0.05347368421052632,0.031157894736842107,0.024,0.016842105263157894,0.010947368421052631,2375,0.0,0.0,0.000984251968503937,0.000984251968503937,0.0,0.0054133858267716535,0.014271653543307087,0.04232283464566929,0.1624015748031496,0.1437007874015748,0.027559055118110236,0.02066929133858268,0.02608267716535433,0.05167322834645669,0.03641732283464567,0.04872047244094488,0.07431102362204725,0.1264763779527559,0.09940944881889764,0.043799212598425195,0.025098425196850394,0.01328740157480315,0.027559055118110236,0.008858267716535433,2032
8,31008,0.006024096385542169,0.0007530120481927711,0.0,0.0,0.0007530120481927711,0.02033132530120482,0.07906626506024096,0.11370481927710843,0.10692771084337349,0.054969879518072286,0.024096385542168676,0.04894578313253012,0.045180722891566265,0.03765060240963856,0.04066265060240964,0.0391566265060241,0.038403614457831324,0.08057228915662651,0.09713855421686747,0.04969879518072289,0.0572289156626506,0.03463855421686747,0.009036144578313253,0.015060240963855422,1328,0.0029850746268656717,0.0,0.0014925373134328358,0.0,0.0007462686567164179,0.004477611940298508,0.020895522388059702,0.04626865671641791,0.049253731343283584,0.06492537313432836,0.03582089552238806,0.027611940298507463,0.05223880597014925,0.050746268656716415,0.05149253731343283,0.04776119402985075,0.07164179104477612,0.15671641791044777,0.10671641791044777,0.08134328358208955,0.06567164179104477,0.03656716417910448,0.013432835820895522,0.011194029850746268,1340
9,31009,0.002157497303128371,0.0010787486515641855,0.002157497303128371,0.0,0.0,0.0,0.006472491909385114,0.022653721682847898,0.06364617044228695,0.03344120819848975,0.018338727076591153,0.04746494066882417,0.039913700107874865,0.030204962243797196,0.02481121898597627,0.05393743257820928,0.14455231930960086,0.2750809061488673,0.10679611650485436,0.06364617044228695,0.037756202804746494,0.012944983818770227,0.007551240560949299,0.005393743257820928,927,0.004677268475210477,0.002806361085126286,0.0009354536950420954,0.0,0.0,0.0018709073900841909,0.04490177736202058,0.1824134705332086,0.29186155285313375,0.06641721234798878,0.01777362020579981,0.018709073900841908,0.03554724041159962,0.028999064546304958,0.01683816651075772,0.014967259120673527,0.05425631431244153,0.04583723105706267,0.03648269410664172,0.03461178671655753,0.03274087932647334,0.03928905519176801,0.01403180542563143,0.01403180542563143,1069
