,Station,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,pick_up_sum,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0,return_sum
0,31000,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.04395604395604396,0.2087912087912088,0.1978021978021978,0.03296703296703297,0.07692307692307693,0.03296703296703297,0.12087912087912088,0.01098901098901099,0.03296703296703297,0.054945054945054944,0.06593406593406594,0.054945054945054944,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.0,91,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418803418803419,0.0,0.06837606837606838,0.017094017094017096,0.05128205128205128,0.03418803418803419,0.05982905982905983,0.05982905982905983,0.19658119658119658,0.20512820512820512,0.13675213675213677,0.06837606837606838,0.042735042735042736,0.017094017094017096,0.0,117
1,31001,0.007692307692307693,0.0,0.0,0.07692307692307693,0.05384615384615385,0.007692307692307693,0.0,0.046153846153846156,0.16923076923076924,0.06923076923076923,0.023076923076923078,0.03076923076923077,0.046153846153846156,0.015384615384615385,0.06153846153846154,0.023076923076923078,0.046153846153846156,0.13846153846153847,0.06923076923076923,0.038461538461538464,0.0,0.03076923076923077,0.023076923076923078,0.023076923076923078,130,0.010309278350515464,0.0,0.0,0.10309278350515463,0.07216494845360824,0.0,0.0,0.061855670103092786,0.030927835051546393,0.07216494845360824,0.14432989690721648,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.020618556701030927,0.13402061855670103,0.1134020618556701,0.030927835051546393,0.05154639175257732,0.0,0.0,0.010309278350515464,97
2,31002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15865384615384615,0.20192307692307693,0.052884615384615384,0.0,0.028846153846153848,0.0673076923076923,0.038461538461538464,0.019230769230769232,0.07211538461538461,0.15384615384615385,0.09134615384615384,0.057692307692307696,0.014423076923076924,0.03365384615384615,0.0,0.0,0.009615384615384616,208,0.0,0.0,0.0,0.0,0.0,0.0,0.06967213114754098,0.045081967213114756,0.14344262295081966,0.08196721311475409,0.05327868852459016,0.012295081967213115,0.036885245901639344,0.05327868852459016,0.028688524590163935,0.06147540983606557,0.11065573770491803,0.1885245901639344,0.06557377049180328,0.020491803278688523,0.01639344262295082,0.00819672131147541,0.0,0.004098360655737705,244
3,31003,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.048484848484848485,0.05454545454545454,0.04242424242424243,0.06666666666666667,0.06666666666666667,0.10909090909090909,0.05454545454545454,0.030303030303030304,0.09090909090909091,0.1696969696969697,0.07878787878787878,0.07878787878787878,0.01818181818181818,0.01818181818181818,0.012121212121212121,0.024242424242424242,0.012121212121212121,165,0.005319148936170213,0.005319148936170213,0.0,0.0,0.0,0.0,0.010638297872340425,0.06382978723404255,0.09574468085106383,0.03723404255319149,0.031914893617021274,0.03723404255319149,0.0797872340425532,0.06382978723404255,0.06382978723404255,0.09042553191489362,0.1276595744680851,0.13297872340425532,0.11170212765957446,0.005319148936170213,0.015957446808510637,0.010638297872340425,0.005319148936170213,0.005319148936170213,188
4,31004,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.28289473684210525,0.05921052631578947,0.03289473684210526,0.046052631578947366,0.02631578947368421,0.03289473684210526,0.019736842105263157,0.02631578947368421,0.046052631578947366,0.05921052631578947,0.05921052631578947,0.08552631578947369,0.05263157894736842,0.019736842105263157,0.013157894736842105,0.013157894736842105,0.0,152,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.033112582781456956,0.006622516556291391,0.039735099337748346,0.033112582781456956,0.1456953642384106,0.15894039735099338,0.1456953642384106,0.2119205298013245,0.046357615894039736,0.10596026490066225,0.033112582781456956,0.013245033112582781,0.0,151
5,31005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010452961672473868,0.04878048780487805,0.1254355400696864,0.017421602787456445,0.017421602787456445,0.03484320557491289,0.0313588850174216,0.03484320557491289,0.05226480836236934,0.12195121951219512,0.18466898954703834,0.1672473867595819,0.04529616724738676,0.059233449477351915,0.03832752613240418,0.006968641114982578,0.003484320557491289,287,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.25,0.06818181818181818,0.05303030303030303,0.03409090909090909,0.03787878787878788,0.056818181818181816,0.03409090909090909,0.045454545454545456,0.030303030303030304,0.0946969696969697,0.07954545454545454,0.06060606060606061,0.09090909090909091,0.022727272727272728,0.011363636363636364,0.003787878787878788,0.011363636363636364,264
6,31006,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.09090909090909091,0.01652892561983471,0.03305785123966942,0.04132231404958678,0.06611570247933884,0.11570247933884298,0.09917355371900827,0.049586776859504134,0.05785123966942149,0.11570247933884298,0.10743801652892562,0.0743801652892562,0.049586776859504134,0.04132231404958678,0.0,0.01652892561983471,121,0.04666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.03333333333333333,0.013333333333333334,0.07333333333333333,0.03333333333333333,0.04666666666666667,0.04,0.10666666666666667,0.18,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.02666666666666667,0.02,0.02666666666666667,150
7,31007,0.0,0.002277904328018223,0.0,0.0,0.002277904328018223,0.0,0.018223234624145785,0.08200455580865604,0.17539863325740318,0.07061503416856492,0.03644646924829157,0.015945330296127564,0.029612756264236904,0.025056947608200455,0.022779043280182234,0.04555808656036447,0.06378132118451026,0.1275626423690205,0.12984054669703873,0.0888382687927107,0.02050113895216401,0.025056947608200455,0.01366742596810934,0.004555808656036446,439,0.0,0.0,0.003003003003003003,0.0,0.003003003003003003,0.006006006006006006,0.006006006006006006,0.03303303303303303,0.1891891891891892,0.1891891891891892,0.06006006006006006,0.024024024024024024,0.03303303303303303,0.021021021021021023,0.03903903903903904,0.03903903903903904,0.06906906906906907,0.13813813813813813,0.06606606606606606,0.05405405405405406,0.015015015015015015,0.006006006006006006,0.006006006006006006,0.0,333
8,31008,0.0,0.0,0.0,0.0,0.0,0.04807692307692308,0.1201923076923077,0.10096153846153846,0.11538461538461539,0.07692307692307693,0.009615384615384616,0.038461538461538464,0.02403846153846154,0.09134615384615384,0.028846153846153848,0.10576923076923077,0.03365384615384615,0.057692307692307696,0.04326923076923077,0.052884615384615384,0.02403846153846154,0.019230769230769232,0.009615384615384616,0.0,208,0.004830917874396135,0.004830917874396135,0.0,0.0,0.0,0.0,0.0966183574879227,0.0966183574879227,0.06763285024154589,0.0966183574879227,0.028985507246376812,0.014492753623188406,0.10628019323671498,0.014492753623188406,0.033816425120772944,0.07729468599033816,0.09178743961352658,0.07729468599033816,0.06763285024154589,0.03864734299516908,0.03864734299516908,0.033816425120772944,0.004830917874396135,0.004830917874396135,207
9,31009,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.056818181818181816,0.09659090909090909,0.03977272727272727,0.005681818181818182,0.022727272727272728,0.03409090909090909,0.03409090909090909,0.045454545454545456,0.09090909090909091,0.21022727272727273,0.22727272727272727,0.09090909090909091,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.005681818181818182,0.0,176,0.0,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.062111801242236024,0.4409937888198758,0.049689440993788817,0.031055900621118012,0.006211180124223602,0.024844720496894408,0.031055900621118012,0.006211180124223602,0.049689440993788817,0.06832298136645963,0.06832298136645963,0.062111801242236024,0.024844720496894408,0.012422360248447204,0.012422360248447204,0.024844720496894408,0.006211180124223602,161
