,Station,Cluster Label,EM Label,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0
290,31608,4,2,9.0,6.0,2.0,1.0,0.0,6.0,28.0,39.0,69.0,21.0,10.0,15.0,17.0,33.0,28.0,21.0,21.0,77.0,75.0,46.0,40.0,28.0,30.0,10.0,4.0,2.0,2.0,1.0,0.0,32.0,8.0,25.0,30.0,30.0,24.0,27.0,29.0,27.0,16.0,35.0,37.0,70.0,81.0,55.0,35.0,25.0,27.0,13.0
291,31609,2,2,15.0,4.0,1.0,0.0,1.0,0.0,12.0,43.0,94.0,55.0,41.0,48.0,56.0,64.0,47.0,83.0,74.0,72.0,88.0,53.0,62.0,54.0,37.0,49.0,14.0,11.0,3.0,2.0,1.0,2.0,4.0,13.0,50.0,31.0,38.0,42.0,65.0,60.0,82.0,76.0,106.0,160.0,150.0,103.0,80.0,56.0,48.0,26.0
292,31610,4,2,6.0,1.0,2.0,2.0,1.0,1.0,20.0,94.0,110.0,66.0,71.0,90.0,83.0,84.0,72.0,69.0,79.0,122.0,105.0,107.0,56.0,38.0,24.0,12.0,5.0,2.0,3.0,1.0,0.0,1.0,29.0,38.0,68.0,61.0,91.0,92.0,99.0,85.0,88.0,63.0,85.0,132.0,125.0,101.0,48.0,32.0,35.0,13.0
293,31611,2,2,15.0,10.0,7.0,2.0,1.0,7.0,52.0,110.0,191.0,113.0,71.0,53.0,60.0,55.0,48.0,38.0,44.0,51.0,61.0,60.0,35.0,54.0,43.0,24.0,10.0,7.0,9.0,2.0,1.0,6.0,10.0,26.0,39.0,27.0,41.0,44.0,44.0,46.0,44.0,61.0,97.0,160.0,208.0,164.0,106.0,73.0,40.0,21.0
294,31612,2,2,0.0,0.0,2.0,0.0,0.0,12.0,49.0,104.0,235.0,96.0,50.0,53.0,43.0,48.0,54.0,48.0,62.0,71.0,76.0,54.0,49.0,17.0,8.0,7.0,9.0,5.0,2.0,3.0,3.0,1.0,6.0,19.0,29.0,46.0,40.0,37.0,22.0,47.0,44.0,43.0,70.0,122.0,150.0,99.0,82.0,63.0,58.0,22.0
295,31613,4,2,13.0,10.0,2.0,3.0,0.0,35.0,35.0,92.0,199.0,151.0,115.0,141.0,179.0,182.0,169.0,132.0,204.0,322.0,339.0,226.0,130.0,122.0,64.0,43.0,12.0,5.0,0.0,0.0,0.0,26.0,49.0,186.0,269.0,165.0,134.0,154.0,166.0,139.0,125.0,143.0,181.0,353.0,321.0,214.0,125.0,72.0,56.0,21.0
296,31614,3,2,7.0,7.0,10.0,4.0,7.0,16.0,46.0,116.0,154.0,66.0,20.0,19.0,20.0,33.0,21.0,11.0,30.0,49.0,41.0,45.0,32.0,28.0,20.0,18.0,15.0,11.0,2.0,3.0,2.0,7.0,6.0,7.0,23.0,20.0,16.0,25.0,26.0,35.0,28.0,33.0,63.0,186.0,161.0,95.0,60.0,43.0,39.0,15.0
297,31615,2,2,14.0,5.0,3.0,0.0,1.0,5.0,53.0,187.0,262.0,90.0,67.0,91.0,96.0,106.0,90.0,106.0,110.0,189.0,174.0,149.0,113.0,73.0,35.0,9.0,9.0,8.0,3.0,0.0,4.0,5.0,6.0,44.0,58.0,84.0,73.0,97.0,132.0,125.0,105.0,132.0,183.0,391.0,256.0,212.0,149.0,104.0,53.0,29.0
298,31616,2,2,8.0,2.0,0.0,1.0,0.0,9.0,40.0,103.0,232.0,88.0,53.0,51.0,59.0,61.0,57.0,55.0,84.0,116.0,163.0,130.0,80.0,49.0,43.0,24.0,14.0,5.0,5.0,3.0,0.0,4.0,9.0,43.0,71.0,57.0,49.0,51.0,64.0,67.0,66.0,82.0,106.0,247.0,229.0,159.0,93.0,70.0,40.0,43.0
299,31617,2,0,1.0,0.0,0.0,20.0,3.0,27.0,11.0,33.0,87.0,56.0,28.0,32.0,29.0,18.0,16.0,20.0,11.0,18.0,25.0,31.0,18.0,10.0,14.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,4.0,19.0,18.0,17.0,23.0,24.0,38.0,20.0,38.0,36.0,57.0,76.0,79.0,35.0,24.0,25.0,11.0
