,Station,Cluster Label,EM Label,name,longitude,latitude
399,32067,0,2,Shady Grove Metro East,-77.164969,39.121327
400,32068,3,0,Columbus Ave & Tribeca St,-77.1673,39.126
401,32074,4,2,Twinbrook Metro,-77.120776,39.062041
402,32078,4,1,Woodglen Dr & Executive Blvd,-77.1135,39.04317
403,32079,0,3,Executive Blvd & E Jefferson St,-77.1257,39.04873
404,32081,3,0,Congressional Ln & E Jefferson St,-77.129235,39.06219
405,32083,4,1,Rockville Pike & Meeting St,-77.115212,39.050539
406,32204,3,0,Tysons Corner Station,-77.222115,38.920939
407,32205,0,2,Westpark & Jones Branch Dr,-77.217664,38.924437
408,32213,0,3,Sunset Hills & Old Reston Ave,-77.351649,38.955079
409,32214,0,3,Reston Town Center Transit Station,-77.359718,38.957037
410,32215,3,0,Wiehle Ave & Reston Station Blvd,-77.3368,38.9492
411,32217,0,3,Sunset Hills Rd & Discovery Square,-77.357611,38.95534
412,32220,3,0,Sunset Hills Rd & Isaac Newton Square,-77.340377,38.951443
413,32224,0,3,Town Center Pkwy & Sunset Hills Rd,-77.3630940914154,38.955170598044894
