,Station,Cluster Label,EM Label,name,longitude,latitude
87,31093,2,0,21st St & N Pierce St,-77.078317,38.898984
88,31094,2,0,Lee Hwy & N Kirkwood Rd,-77.09713,38.895377
89,31095,3,0,Army Navy Dr & S Nash St,-77.06812083721161,38.86215024521491
90,31096,2,0,Walter Reed Dr & 8th St S,-77.08787,38.86612
91,31097,4,1,Saint Asaph St & Madison St,-77.044097,38.812718
92,31098,4,2,King St Metro North / Cameron St,-77.059817,38.80704
93,31099,4,1,Madison St & N Henry St,-77.049468,38.813485
94,31100,0,2,19th St & Pennsylvania Ave NW,-77.0429,38.9003
95,31101,2,2,14th & V St NW,-77.032112,38.917931
96,31102,2,2,11th & Kenyon St NW,-77.027822,38.929464
97,31103,2,2,16th & Harvard St NW,-77.036536,38.926088
98,31104,2,2,Adams Mill & Columbia Rd NW,-77.042581,38.922925
99,31105,2,0,14th & Harvard St NW,-77.0322,38.9268
100,31106,2,0,Calvert & Biltmore St NW,-77.047637,38.923203
101,31107,2,0,Lamont & Mt Pleasant NW,-77.0388,38.9319
102,31108,2,2,4th & M St SW,-77.0178,38.8767
103,31109,2,2,7th & T St NW,-77.0222,38.9155
104,31110,4,2,20th St & Florida Ave NW,-77.0446,38.9154
105,31111,2,2,10th & U St NW,-77.0259,38.9172
106,31112,2,1,Harvard St & Adams Mill Rd NW,-77.043358,38.927872
107,31113,2,2,Columbia Rd & Belmont St NW,-77.04368,38.920669
108,31114,2,2,18th St & Wyoming Ave NW,-77.041571,38.918809
109,31115,2,0,Columbia Rd & Georgia Ave NW,-77.0237946510315,38.92812111132096
110,31116,2,2,California St & Florida Ave NW,-77.04062,38.917761
111,31117,2,2,15th & Euclid St  NW,-77.0352,38.92333
112,31118,2,0,3rd & Elm St NW,-77.01597,38.917622
113,31119,2,2,14th & Belmont St NW,-77.031887,38.921074
114,31120,2,0,10th & Florida Ave NW,-77.025672,38.920387
115,31121,4,2,Calvert St & Woodley Pl NW,-77.050046,38.923583
116,31122,2,2,16th & Irving St NW,-77.03625,38.928893
117,31123,2,2,14th & Girard St NW,-77.032375,38.925284
118,31124,4,2,14th & Irving St NW,-77.032224,38.928552
119,31125,2,2,15th & W St NW,-77.034502,38.919086
120,31126,2,2,11th & Girard St NW,-77.027112,38.925636
121,31127,4,2,22nd & H St NW,-77.048946,38.899104
122,31128,4,2,23rd & M St NW,-77.050264,38.905303
123,31129,4,2,15th St & Pennsylvania Ave NW,-77.03338,38.89635
124,31200,4,2,Massachusetts Ave & Dupont Circle NW,-77.0444,38.9101
125,31201,4,2,15th & P St NW,-77.034438,38.90985
126,31202,2,2,14th & R St NW,-77.032523,38.912681
127,31203,2,2,14th & Rhode Island Ave NW,-77.0323,38.9086
128,31204,4,2,20th & E St NW,-77.045,38.8963
129,31205,0,2,21st & I St NW,-77.04644858837128,38.90071062547463
130,31206,0,2,19th & E Street NW,-77.0436,38.8952
131,31207,2,1,Georgia Ave and Fairmont St NW,-77.0222,38.9249
132,31208,4,2,M St & New Jersey Ave SE,-77.0037,38.8763
133,31209,4,1,1st & N St  SE,-77.0057,38.8743
134,31211,4,2,Kennedy Center,-77.05557,38.897293
135,31212,4,2,21st & M St NW,-77.046774,38.90534
136,31213,4,2,17th & K St NW,-77.03863,38.90276
137,31214,2,2,17th & Corcoran St NW,-77.0387,38.9121
138,31215,4,2,Georgetown Harbor / 30th St NW,-77.059219,38.9022212
139,31216,0,2,14th St & New York Ave NW,-77.031686,38.899632
140,31217,0,2,USDA / 12th & C St SW,-77.02824175357819,38.88627694506511
141,31218,4,2,L'Enfant Plaza / 7th & C St SW,-77.022241,38.886266
142,31219,0,2,10th St & Constitution Ave NW,-77.026013,38.893028
143,31220,0,2,US Dept of State / Virginia Ave & 21st St NW,-77.046587,38.894919
144,31221,0,2,18th & M St NW,-77.04177886247635,38.90506687455313
145,31222,4,2,New York Ave & 15th St NW,-77.03335404396057,38.89903234416315
146,31223,2,2,Convention Center / 7th & M St NW,-77.02227,38.905737
147,31224,0,2,18th & L St NW,-77.04245209693909,38.903741450919384
148,31225,4,2,C & O Canal & Wisconsin Ave NW,-77.06269,38.90375
149,31226,4,1,34th St & Wisconsin Ave NW,-77.0682,38.916442
150,31227,0,2,13th St & New York Ave NW,-77.029822,38.900283
151,31228,4,2,8th & H St NW,-77.023086,38.8997
152,31229,2,2,New Hampshire Ave & T St NW,-77.03818,38.91554
153,31230,0,2,Metro Center / 12th & G St NW,-77.027869,38.898364
154,31231,0,2,14th & D St NW / Ronald Reagan Building,-77.031617,38.894514
155,31232,4,2,7th & F St NW / National Portrait Gallery,-77.02232480049133,38.89731227340173
156,31233,0,2,17th & K St NW / Farragut Square,-77.038322,38.902061
157,31234,4,2,20th & O St NW / Dupont South,-77.04478,38.908905
158,31235,0,2,19th St & Constitution Ave NW,-77.0436,38.8923
159,31236,0,2,37th & O St NW / Georgetown University,-77.071652,38.90774
160,31237,4,2,25th St & Pennsylvania Ave NW,-77.053485,38.903827
161,31238,0,2,14th & G St NW,-77.032278,38.898409
162,31239,0,2,Rhode Island & Connecticut Ave NW,-77.03980207443237,38.905995699991145
163,31240,4,1,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.04657,38.88412
164,31241,4,2,Thomas Circle,-77.0325,38.9059
165,31242,0,3,18th St & Pennsylvania Ave NW,-77.041539,38.89968
166,31243,0,2,4th & C St SW,-77.01770067214966,38.88637194054526
167,31244,4,2,4th & E St SW,-77.017445,38.88412
168,31245,2,2,7th & R St NW / Shaw Library,-77.022155,38.912719
169,31246,4,2,M St & Pennsylvania Ave NW,-77.056887,38.905126
170,31247,4,2,Jefferson Dr & 14th St SW,-77.032429,38.888553
171,31248,4,2,Smithsonian-National Mall / Jefferson Dr & 12th St SW,-77.02858,38.888767
172,31249,4,2,Jefferson Memorial,-77.037413,38.879819
173,31250,0,2,20th & L St NW,-77.044789,38.903584
174,31251,4,2,12th & L St NW,-77.0284,38.903819
175,31252,0,2,21st St & Pennsylvania Ave NW,-77.046564,38.901539
176,31253,0,2,19th & K St NW,-77.04337,38.902204
177,31254,0,2,15th & K St NW,-77.03353,38.902
178,31255,4,2,24th & N St NW,-77.05152,38.9066
179,31256,4,2,10th & E St NW,-77.026064,38.895914
180,31257,4,2,22nd & I St NW / Foggy Bottom,-77.048911,38.90088
181,31258,4,2,Lincoln Memorial,-77.049426,38.888251
182,31259,0,3,20th St & Virginia Ave NW,-77.045128,38.894722
183,31260,0,2,23rd & E St NW ,-77.049882,38.896104
184,31261,0,2,21st St & Constitution Ave NW,-77.046567,38.892459
185,31262,4,2,11th & F St NW,-77.026975,38.897857
186,31263,4,2,10th & K St NW,-77.02622,38.9024
187,31264,4,2,6th St & Indiana Ave NW,-77.01994,38.894573
188,31265,2,2,5th St & Massachusetts Ave NW,-77.018677,38.90093
189,31266,2,2,11th & M St NW,-77.027137,38.905607
190,31267,4,2,17th St & Massachusetts Ave NW,-77.038359,38.908142
191,31268,2,2,12th & U St NW,-77.028139,38.916787
192,31269,4,2,3rd St & Pennsylvania Ave SE,-77.001955,38.887378
193,31270,4,2,8th & D St NW,-77.02324,38.894851
194,31271,4,2,Constitution Ave & 2nd St NW/DOL,-77.013917,38.892275
195,31272,0,2,Washington & Independence Ave SW/HHS,-77.013769,38.886978
196,31273,4,1,Hains Point/Buckeye & Ohio Dr SW,-77.03023,38.878433
197,31274,0,2,10th & G St NW,-77.02623546123505,38.89824328774852
198,31275,4,2,New Hampshire Ave & 24th St NW,-77.051084,38.901755
199,31276,0,2,15th & L St NW,-77.034846,38.90366
200,31277,0,2,17th & G St NW,-77.03973233699799,38.89829964921176
201,31278,2,2,18th & R St NW,-77.041834,38.912648
202,31279,0,2,19th & G St NW,-77.043182,38.898412
203,31280,2,0,11th & S St NW,-77.027025,38.913761
204,31281,2,2,8th & O St NW,-77.02277,38.90864
205,31282,3,2,16th & R St NW,-77.036278,38.912652
206,31283,4,2,14th & L St NW,-77.031737,38.903658
207,31284,0,2,18th & C St NW,-77.041544,38.893511
208,31285,2,2,22nd & P ST NW,-77.048728,38.909394
209,31286,2,0,11th & O St NW,-77.02714,38.90843
210,31287,0,2,10th St & L'Enfant Plaza SW,-77.02601015567778,38.88432272414662
211,31288,4,2,4th St & Madison Dr NW,-77.017253,38.890493
212,31289,4,2,Henry Bacon Dr & Lincoln Memorial Circle NW,-77.049379,38.890544
213,31290,4,2,17th St & Independence Ave SW,-77.038325,38.888097
214,31291,0,2,Vermont Ave & I St NW,-77.03445106744766,38.901136451737045
215,31292,0,2,22nd St & Constitution Ave NW,-77.048947,38.892441
216,31293,4,2,31st & Water St NW,-77.061043,38.902814
217,31294,4,2,7th & E St SW,-77.021741,38.88345
218,31295,4,2,Potomac & M St NW,-77.065149,38.905368
219,31296,2,2,Columbia & Ontario Rd NW,-77.040787,38.924088
220,31297,4,1,Virginia Ave & 25th St NW,-77.054155,38.8995
221,31298,4,2,15th & M St NW,-77.034674,38.905424
222,31299,4,2,Connecticut Ave & R St NW,-77.04564,38.912644
223,31300,4,1,Van Ness Metro / UDC,-77.063896,38.944551
224,31301,4,1,Ward Circle / American University,-77.087171,38.938736
225,31302,2,0,Wisconsin Ave & Newark St NW,-77.072755,38.934881
226,31303,4,1,Tenleytown / Wisconsin Ave & Albemarle St NW,-77.079382,38.947607
227,31304,2,2,36th & Calvert St NW / Glover Park,-77.070334,38.922581
228,31305,4,1,Connecticut Ave & Newark St NW / Cleveland Park,-77.057979,38.934267
229,31306,2,0,39th & Calvert St NW / Stoddert,-77.077271,38.922649
230,31307,4,1,3000 Connecticut Ave NW / National Zoo,-77.055599,38.930282
231,31308,2,1,39th & Veazey St NW,-77.077078,38.943837
232,31309,2,0,Fessenden St & Wisconsin Ave NW,-77.082426,38.954812
233,31310,2,0,Connecticut & Nebraska Ave NW,-77.069956,38.955016
234,31312,4,2,Wisconsin Ave & O St NW,-77.063586,38.90849
235,31313,2,0,Connecticut Ave & Tilden St NW,-77.061977237463,38.94113915653008
236,31314,4,1,34th & Water St NW,-77.0676684380669,38.903662690050474
237,31315,2,0,Connecticut Ave & McKinley St NW,-77.07513481378555,38.96454350924588
238,31316,2,1,Yuma St & Tenley Circle NW,-77.08059,38.946182
239,31317,4,1,Wisconsin Ave & Ingomar St NW,-77.084636,38.958267
240,31318,2,1,Connecticut Ave & Yuma St NW,-77.065115,38.947156
241,31319,4,1,Wisconsin Ave & Brandywine St NW,-77.080217,38.949813
242,31320,4,1,American University East Campus,-77.087128,38.936298
243,31321,4,2,15th St & Constitution Ave NW,-77.033234,38.892244
244,31400,2,2,Georgia & New Hampshire Ave NW,-77.024649,38.936043
245,31401,2,2,14th St & Spring Rd NW,-77.0328,38.9375
246,31402,2,0,14th St Heights / 14th & Crittenden St NW,-77.032818,38.947774
247,31403,2,0,5th & Kennedy St NW,-77.0198142528534,38.956555547721955
248,31404,2,0,9th & Upshur St NW,-77.0251,38.9418
249,31405,3,0,Georgia Ave & Emerson St NW,-77.027333,38.949662
250,31406,2,0,14th & Upshur St NW,-77.03267812728882,38.942475355602845
251,31407,2,1,14th St & Colorado Ave NW,-77.032947,38.956432
252,31408,0,2,Takoma Metro,-77.016855,38.975219
253,31411,4,1,Georgia & Missouri Ave NW,-77.027855,38.961339
254,31412,2,0,3rd St & Riggs Rd NE,-77.002239,38.957463
255,31413,2,0,3rd & Underwood St NW,-77.016258,38.968834
256,31414,2,1,Georgia Ave & Piney Branch Rd NW,-77.027976,38.967505
257,31415,2,1,Georgia Ave & Kennedy St NW,-77.02791,38.95674
258,31500,2,2,4th & W St NE,-77.000648,38.919077
259,31501,2,0,12th & Newton St NE,-76.991016,38.933668
260,31502,4,2,John McCormack Dr & Michigan Ave NE,-76.9955,38.9346
261,31503,2,2,Florida Ave & R St NW,-77.0135,38.9126
262,31504,3,0,10th & Monroe St NE,-76.992889,38.932514
263,31505,2,2,Eckington Pl & Q St NE,-77.00495,38.910972
264,31506,2,0,1st & Rhode Island Ave NW,-77.012289,38.915417
265,31507,4,2,1st & Washington Hospital Center NW,-77.012457,38.928743
266,31508,2,0,Gallaudet / 8th St & Florida Ave NE,-76.9941,38.90509
267,31509,2,0,New Jersey Ave & R St NW,-77.017669,38.912659
268,31510,2,0,18th St & Rhode Island Ave NE,-76.978924,38.927095
269,31511,3,0,12th & Irving St NE,-76.990955,38.928644
270,31512,3,2,Neal St & Trinidad Ave NE,-76.987211,38.903732
271,31513,3,0,Rhode Island Ave & V St NE,-77.004746,38.918155
272,31514,3,0,Hamlin & 7th St NE,-76.997194,38.927497
273,31515,4,1,Fort Totten Metro,-77.002721,38.952369
274,31516,2,0,Rhode Island Ave Metro,-76.995876,38.920682
275,31517,4,2,Union Market,-76.99707,38.907908
276,31518,4,2,New York Ave & Hecht Ave NE,-76.983683,38.915604
277,31519,2,2,1st & O St NW,-77.012365,38.908643
278,31520,4,1,24th & R St NE / National Arboretum,-76.971923,38.91263
279,31522,2,0,2nd St & Seaton Pl NE,-77.00356006622314,38.914751108831155
280,31523,2,0,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,-77.0078,38.915
281,31600,2,2,5th & K St NW,-77.019027,38.90304
282,31601,2,2,19th & East Capitol St SE,-76.9769,38.8896
283,31602,2,2,Park Rd & Holmead Pl NW,-77.0315,38.9308
284,31603,4,2,1st & M St NE,-77.0056,38.9057
285,31604,4,2,3rd & H St NW,-77.015289,38.899408
286,31605,4,2,3rd & D St SE,-77.0023,38.8851
287,31606,2,2,Potomac & Pennsylvania Ave SE,-76.9862,38.8803
288,31607,2,2,13th & E St SE,-76.98790669441223,38.88291548476762
289,31608,4,2,8th & Eye St SE / Barracks Row,-76.9953,38.8792
290,31609,2,2,Maine Ave & 7th St SW,-77.02305436134338,38.878693599396954
291,31610,4,2,Eastern Market / 7th & North Carolina Ave SE,-76.996806,38.886952
292,31611,2,2,13th & H St NE,-76.98842167854308,38.900021783466954
293,31612,2,2,D St & Maryland Ave NE,-76.997114,38.894758
294,31613,4,2,Eastern Market Metro / Pennsylvania Ave & 7th St SE,-76.995397,38.884
295,31614,3,2,11th & H St NE,-76.991383,38.899983
296,31615,2,2,6th & H St NE,-76.998347,38.899972
297,31616,2,2,3rd & H St NE,-77.001949,38.900412
298,31617,2,0,Bladensburg Rd & Benning Rd NE,-76.982872,38.900413
299,31618,2,2,4th & East Capitol St NE,-77.000349,38.889955
300,31619,2,2,Lincoln Park / 13th & East Capitol St NE ,-76.988355,38.890461
301,31620,4,2,5th & F St NW,-77.019347,38.897222
302,31621,0,2,4th & D St NW / Judiciary Square,-77.016106,38.895344
303,31622,3,0,13th & D St NE,-76.987633,38.894832
304,31623,4,2,Columbus Circle / Union Station,-77.00493,38.89696
305,31624,4,2,North Capitol St & F St NW,-77.009888,38.897446
306,31625,4,2,3rd & G St SE,-77.001828,38.881185
307,31626,2,0,15th St & Massachusetts Ave SE,-76.983569,38.88732
308,31627,4,2,3rd & M St NE,-77.0021304488182,38.905469714943266
309,31628,4,2,1st & K St SE,-77.00572729110718,38.878854378063295
310,31629,2,2,8th & East Capitol St NE,-76.995193,38.889988
311,31630,2,2,15th & East Capitol St NE,-76.983326,38.889908
312,31631,2,0,8th & F St NE,-76.994749,38.897274
