,Station,Cluster Label,EM Label,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0
0,31000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.024844720496894408,0.14906832298136646,0.10559006211180123,0.049689440993788817,0.024844720496894408,0.049689440993788817,0.07453416149068323,0.024844720496894408,0.06211180124223601,0.06211180124223601,0.13043478260869565,0.11180124223602483,0.043478260869565216,0.06211180124223601,0.006211180124223602,0.006211180124223602,0.0,0.0111731843575419,0.00558659217877095,0.0,0.0,0.00558659217877095,0.0111731843575419,0.0,0.0,0.0111731843575419,0.0,0.0111731843575419,0.0223463687150838,0.05586592178770949,0.06145251396648045,0.01675977653631285,0.0446927374301676,0.18994413407821228,0.2011173184357542,0.1340782122905028,0.08379888268156424,0.06145251396648045,0.027932960893854747,0.01675977653631285,0.027932960893854747
1,31001,4,1,0.015544041450777204,0.0051813471502590676,0.0,0.0051813471502590676,0.010362694300518135,0.0,0.010362694300518135,0.06735751295336788,0.1243523316062176,0.031088082901554407,0.04145077720207254,0.02590673575129533,0.02072538860103627,0.04145077720207254,0.04145077720207254,0.03626943005181347,0.10362694300518134,0.10362694300518134,0.1088082901554404,0.07253886010362694,0.08808290155440414,0.015544041450777204,0.015544041450777204,0.015544041450777204,0.011560693641618495,0.0,0.0,0.005780346820809247,0.011560693641618495,0.0,0.011560693641618495,0.10404624277456648,0.06936416184971098,0.02890173410404624,0.017341040462427744,0.04624277456647399,0.02890173410404624,0.03468208092485549,0.03468208092485549,0.005780346820809247,0.11560693641618495,0.09826589595375723,0.08670520231213873,0.10404624277456648,0.09248554913294796,0.04624277456647399,0.023121387283236997,0.023121387283236997
2,31002,4,2,0.002989536621823617,0.0,0.0,0.0014947683109118087,0.0,0.0,0.032884902840059786,0.07174887892376683,0.13303437967115098,0.06278026905829596,0.025411061285500747,0.044843049327354265,0.05381165919282512,0.05979073243647234,0.025411061285500747,0.025411061285500747,0.0687593423019432,0.12257100149476832,0.13153961136023914,0.08221225710014947,0.03886397608370702,0.007473841554559044,0.0014947683109118087,0.007473841554559044,0.00141643059490085,0.0,0.0,0.0,0.00141643059490085,0.0028328611898017,0.024079320113314446,0.05382436260623229,0.12039660056657225,0.08356940509915015,0.024079320113314446,0.0453257790368272,0.058073654390934835,0.042492917847025496,0.031161473087818695,0.04390934844192634,0.0764872521246459,0.14305949008498586,0.12039660056657225,0.06232294617563739,0.04390934844192634,0.009915014164305949,0.00424929178470255,0.0070821529745042485
3,31003,4,1,0.0,0.0,0.0,0.0,0.0022271714922049,0.0,0.05122494432071269,0.044543429844098,0.0378619153674833,0.044543429844098,0.0645879732739421,0.0935412026726058,0.07126948775055679,0.04231625835189309,0.0267260579064588,0.0556792873051225,0.1403118040089087,0.1403118040089087,0.0801781737193764,0.057906458797327386,0.0200445434298441,0.008908685968819599,0.0066815144766147,0.0111358574610245,0.0063424947145877385,0.0,0.00211416490486258,0.0,0.0,0.0,0.02325581395348837,0.06553911205073996,0.0824524312896406,0.059196617336152224,0.04439746300211417,0.048625792811839326,0.052854122621564484,0.09302325581395347,0.03171247357293869,0.0613107822410148,0.09513742071881606,0.11839323467230445,0.1226215644820296,0.0507399577167019,0.02325581395348837,0.014799154334038053,0.00422832980972516,0.0
4,31004,3,0,0.003745318352059925,0.0,0.0,0.0,0.003745318352059925,0.003745318352059925,0.10486891385767792,0.15730337078651685,0.20599250936329588,0.041198501872659166,0.041198501872659166,0.02247191011235955,0.033707865168539325,0.041198501872659166,0.0299625468164794,0.048689138576779034,0.05617977528089888,0.06741573033707865,0.07865168539325842,0.03745318352059925,0.02247191011235955,0.0,0.0,0.0,0.0036496350364963507,0.0036496350364963507,0.0,0.0,0.0,0.0,0.0,0.007299270072992701,0.0145985401459854,0.010948905109489052,0.021897810218978103,0.025547445255474453,0.032846715328467155,0.01824817518248175,0.025547445255474453,0.1021897810218978,0.14963503649635038,0.22262773722627735,0.17153284671532848,0.0583941605839416,0.043795620437956206,0.040145985401459854,0.0364963503649635,0.010948905109489052
5,31005,4,1,0.0015455950540958269,0.0,0.0015455950540958269,0.0,0.02472952086553323,0.0,0.0030911901081916537,0.05409582689335394,0.06800618238021637,0.04173106646058733,0.021638330757341576,0.0401854714064915,0.02627511591962906,0.04482225656877898,0.04482225656877898,0.04791344667697063,0.08500772797527048,0.16846986089644514,0.14064914992272026,0.06646058732612056,0.05100463678516229,0.034003091190108185,0.029366306027820713,0.0046367851622874795,0.0,0.0,0.0,0.0,0.006153846153846154,0.0015384615384615385,0.0876923076923077,0.07538461538461537,0.1076923076923077,0.04923076923076923,0.030769230769230767,0.021538461538461538,0.04615384615384616,0.05384615384615385,0.03538461538461538,0.04,0.08615384615384615,0.12923076923076926,0.08923076923076922,0.06461538461538463,0.04461538461538461,0.016923076923076926,0.010769230769230769,0.003076923076923077
6,31006,2,1,0.021604938271604937,0.0,0.0,0.0,0.006172839506172839,0.00308641975308642,0.040123456790123455,0.040123456790123455,0.10802469135802467,0.12345679012345677,0.033950617283950615,0.043209876543209874,0.07716049382716049,0.061728395061728385,0.033950617283950615,0.018518518518518517,0.06481481481481481,0.04629629629629629,0.06481481481481481,0.095679012345679,0.021604938271604937,0.040123456790123455,0.033950617283950615,0.021604938271604937,0.02915451895043732,0.002915451895043732,0.0,0.0,0.0,0.002915451895043732,0.002915451895043732,0.026239067055393587,0.01749271137026239,0.023323615160349854,0.040816326530612235,0.06705539358600582,0.05247813411078717,0.037900874635568516,0.05247813411078717,0.046647230320699715,0.15743440233236153,0.10495626822157436,0.09620991253644316,0.08163265306122447,0.06705539358600582,0.03498542274052478,0.02915451895043732,0.026239067055393587
7,31007,4,2,0.002509410288582183,0.0012547051442910915,0.0,0.0,0.0,0.0,0.01756587202007528,0.09912170639899624,0.11668757841907153,0.07026348808030113,0.033877038895859475,0.02132998745294856,0.028858218318695106,0.028858218318695106,0.03889585947302384,0.028858218318695106,0.06398996235884567,0.17314930991217065,0.14554579673776666,0.053952321204516936,0.031367628607277286,0.01631116687578419,0.01756587202007528,0.010037641154328732,0.0,0.0,0.0,0.0,0.0,0.00430416068866571,0.01721664275466284,0.031563845050215214,0.1449067431850789,0.15064562410329985,0.020086083213773316,0.022955523672883792,0.01721664275466284,0.060258249641319934,0.032998565279770437,0.03730272596843615,0.07890961262553801,0.13773314203730272,0.10616929698708752,0.044476327116212334,0.04304160688665711,0.0071736011477761845,0.032998565279770437,0.010043041606886656
8,31008,2,1,0.009259259259259259,0.0,0.0,0.0,0.0,0.016666666666666666,0.08333333333333333,0.12777777777777774,0.08888888888888889,0.06111111111111111,0.02962962962962963,0.04629629629629629,0.05,0.03148148148148148,0.04629629629629629,0.053703703703703705,0.03518518518518519,0.06481481481481481,0.09074074074074076,0.04629629629629629,0.053703703703703705,0.03333333333333333,0.009259259259259259,0.022222222222222227,0.0,0.0,0.0,0.0,0.0019305019305019305,0.01158301158301158,0.021235521235521238,0.03861003861003861,0.05212355212355212,0.07142857142857142,0.04826254826254826,0.02316602316602316,0.05212355212355212,0.04633204633204633,0.06756756756756757,0.040540540540540536,0.09845559845559844,0.16023166023166024,0.09845559845559844,0.06563706563706563,0.0637065637065637,0.015444015444015444,0.013513513513513514,0.009652509652509652
9,31009,0,2,0.0,0.004149377593360996,0.0,0.0,0.0,0.0,0.004149377593360996,0.024896265560165973,0.06639004149377592,0.03734439834024896,0.020746887966804982,0.03319502074688797,0.03734439834024896,0.024896265560165973,0.020746887966804982,0.07468879668049792,0.14107883817427386,0.2738589211618257,0.12863070539419086,0.05394190871369295,0.04564315352697095,0.0,0.008298755186721992,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0711743772241993,0.19217081850533807,0.2669039145907473,0.05338078291814947,0.021352313167259787,0.021352313167259787,0.03558718861209965,0.0498220640569395,0.010676156583629894,0.014234875444839857,0.06405693950177936,0.046263345195729534,0.039145907473309614,0.04270462633451957,0.02491103202846975,0.017793594306049824,0.014234875444839857,0.010676156583629894
